Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     11.30     0.00     6141     0.00     0.00  Star* std::__addressof<Star>(Star&)
  0.00     11.30     0.00     4094     0.00     0.00  Star&& std::forward<Star>(std::remove_reference<Star>::type&)
  0.00     11.30     0.00     3800     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::min()
  0.00     11.30     0.00     3800     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::operator()()
  0.00     11.30     0.00     3800     0.00     0.00  std::__detail::_Adaptor<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, float>::operator()()
  0.00     11.30     0.00     3800     0.00     0.00  float std::generate_canonical<float, 24ul, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00     11.30     0.00     3429     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.00     11.30     0.00     3000     0.00     0.00  std::normal_distribution<float>::param_type::mean() const
  0.00     11.30     0.00     3000     0.00     0.00  std::normal_distribution<float>::param_type::stddev() const
  0.00     11.30     0.00     3000     0.00     0.00  float std::normal_distribution<float>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00     11.30     0.00     3000     0.00     0.00  float std::normal_distribution<float>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, std::normal_distribution<float>::param_type const&)
  0.00     11.30     0.00     3000     0.00     0.00  std::__detail::_Adaptor<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, float>::_Adaptor(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00     11.30     0.00     2486     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
  0.00     11.30     0.00     2298     0.00     0.00  Star const& std::forward<Star const&>(std::remove_reference<Star const&>::type&)
  0.00     11.30     0.00     2286     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00     11.30     0.00     2047     0.00     0.00  void __gnu_cxx::new_allocator<Star>::destroy<Star>(Star*)
  0.00     11.30     0.00     2047     0.00     0.00  void __gnu_cxx::new_allocator<Star>::construct<Star, Star>(Star*, Star&&)
  0.00     11.30     0.00     2047     0.00     0.00  void std::allocator_traits<std::allocator<Star> >::destroy<Star>(std::allocator<Star>&, Star*)
  0.00     11.30     0.00     2047     0.00     0.00  void std::allocator_traits<std::allocator<Star> >::construct<Star, Star>(std::allocator<Star>&, Star*, Star&&)
  0.00     11.30     0.00     2047     0.00     0.00  void std::__relocate_object_a<Star, Star, std::allocator<Star> >(Star*, Star*, std::allocator<Star>&)
  0.00     11.30     0.00     2047     0.00     0.00  std::remove_reference<Star&>::type&& std::move<Star&>(Star&)
  0.00     11.30     0.00     1500     0.00     0.00  std::log(float)
  0.00     11.30     0.00     1243     0.00     0.00  bool __gnu_cxx::operator!=<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&)
  0.00     11.30     0.00     1233     0.00     0.00  __gnu_cxx::new_allocator<float>::~new_allocator()
  0.00     11.30     0.00     1233     0.00     0.00  std::allocator<float>::~allocator()
  0.00     11.30     0.00     1143     0.00     0.00  get_vel(Particles const&, unsigned long)
  0.00     11.30     0.00     1143     0.00     0.00  Star::Star(float, Vec3 const&, Vec3 const&, float)
  0.00     11.30     0.00     1143     0.00     0.00  void __gnu_cxx::new_allocator<Star>::construct<Star, Star const&>(Star*, Star const&)
  0.00     11.30     0.00     1143     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int>(int*, int&&)
  0.00     11.30     0.00     1143     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::operator++()
  0.00     11.30     0.00     1143     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::operator*() const
  0.00     11.30     0.00     1143     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator*() const
  0.00     11.30     0.00     1143     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator-(long) const
  0.00     11.30     0.00     1143     0.00     0.00  void std::allocator_traits<std::allocator<Star> >::construct<Star, Star const&>(std::allocator<Star>&, Star*, Star const&)
  0.00     11.30     0.00     1143     0.00     0.00  void std::allocator_traits<std::allocator<int> >::construct<int, int>(std::allocator<int>&, int*, int&&)
  0.00     11.30     0.00     1143     0.00     0.00  std::vector<Star, std::allocator<Star> >::push_back(Star const&)
  0.00     11.30     0.00     1143     0.00     0.00  int& std::vector<int, std::allocator<int> >::emplace_back<int>(int&&)
  0.00     11.30     0.00     1143     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  0.00     11.30     0.00     1143     0.00     0.00  std::vector<int, std::allocator<int> >::back()
  0.00     11.30     0.00     1143     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int&&)
  0.00     11.30     0.00     1143     0.00     0.00  std::remove_reference<int&>::type&& std::move<int&>(int&)
  0.00     11.30     0.00     1003     0.00     0.00  void std::_Construct<Vec3, Vec3 const&>(Vec3*, Vec3 const&)
  0.00     11.30     0.00     1003     0.00     0.00  Vec3* std::__addressof<Vec3>(Vec3&)
  0.00     11.30     0.00     1003     0.00     0.00  Vec3 const& std::forward<Vec3 const&>(std::remove_reference<Vec3 const&>::type&)
  0.00     11.30     0.00     1000     0.00     0.00  std::vector<Vec3, std::allocator<Vec3> >::size() const
  0.00     11.30     0.00     1000     0.00     0.00  std::vector<Vec3, std::allocator<Vec3> >::operator[](unsigned long)
  0.00     11.30     0.00      822     0.00     0.00  __gnu_cxx::new_allocator<float>::new_allocator(__gnu_cxx::new_allocator<float> const&)
  0.00     11.30     0.00      822     0.00     0.00  __gnu_cxx::new_allocator<float>::_M_max_size() const
  0.00     11.30     0.00      822     0.00     0.00  std::allocator<float>::allocator(std::allocator<float> const&)
  0.00     11.30     0.00      822     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_get_Tp_allocator()
  0.00     11.30     0.00      711     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<float>::__value, void>::__type std::__fill_a1<float*, float>(float*, float*, float const&)
  0.00     11.30     0.00      624     0.00     0.00  std::__detail::_Mod<unsigned long, 4294967296ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.00     11.30     0.00      624     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 4294967296ul, 1ul, 0ul>(unsigned long)
  0.00     11.30     0.00      623     0.00     0.00  std::__detail::_Mod<unsigned long, 624ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.00     11.30     0.00      623     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 624ul, 1ul, 0ul>(unsigned long)
  0.00     11.30     0.00      600     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::__normal_iterator(float* const&)
  0.00     11.30     0.00      600     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::base() const
  0.00     11.30     0.00      413     0.00     0.00  std::__size_to_integer(unsigned long)
  0.00     11.30     0.00      411     0.00     0.00  __gnu_cxx::new_allocator<float>::deallocate(float*, unsigned long)
  0.00     11.30     0.00      411     0.00     0.00  __gnu_cxx::new_allocator<float>::allocate(unsigned long, void const*)
  0.00     11.30     0.00      411     0.00     0.00  __gnu_cxx::new_allocator<float>::new_allocator()
  0.00     11.30     0.00      411     0.00     0.00  __gnu_cxx::new_allocator<float>::max_size() const
  0.00     11.30     0.00      411     0.00     0.00  std::allocator<float>::allocator()
  0.00     11.30     0.00      411     0.00     0.00  void std::_Destroy_aux<true>::__destroy<float*>(float*, float*)
  0.00     11.30     0.00      411     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_allocate(unsigned long)
  0.00     11.30     0.00      411     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_impl::_Vector_impl(std::allocator<float> const&)
  0.00     11.30     0.00      411     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_impl::~_Vector_impl()
  0.00     11.30     0.00      411     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_deallocate(float*, unsigned long)
  0.00     11.30     0.00      411     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_create_storage(unsigned long)
  0.00     11.30     0.00      411     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_impl_data::_Vector_impl_data()
  0.00     11.30     0.00      411     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_base(unsigned long, std::allocator<float> const&)
  0.00     11.30     0.00      411     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::~_Vector_base()
  0.00     11.30     0.00      411     0.00     0.00  std::allocator_traits<std::allocator<float> >::deallocate(std::allocator<float>&, float*, unsigned long)
  0.00     11.30     0.00      411     0.00     0.00  std::allocator_traits<std::allocator<float> >::allocate(std::allocator<float>&, unsigned long)
  0.00     11.30     0.00      411     0.00     0.00  std::allocator_traits<std::allocator<float> >::max_size(std::allocator<float> const&)
  0.00     11.30     0.00      411     0.00     0.00  float* std::__uninitialized_fill_n<true>::__uninit_fill_n<float*, unsigned long, float>(float*, unsigned long, float const&)
  0.00     11.30     0.00      411     0.00     0.08  std::vector<float, std::allocator<float> >::_S_max_size(std::allocator<float> const&)
  0.00     11.30     0.00      411     0.00     0.08  std::vector<float, std::allocator<float> >::_S_check_init_len(unsigned long, std::allocator<float> const&)
  0.00     11.30     0.00      411     0.00     0.00  std::vector<float, std::allocator<float> >::_M_fill_initialize(unsigned long, float const&)
  0.00     11.30     0.00      411     0.00     0.00  float* std::__fill_n_a<float*, unsigned long, float>(float*, unsigned long, float const&, std::random_access_iterator_tag)
  0.00     11.30     0.00      411     0.00     0.00  std::iterator_traits<float*>::iterator_category std::__iterator_category<float*>(float* const&)
  0.00     11.30     0.00      411     0.00     0.00  float* std::uninitialized_fill_n<float*, unsigned long, float>(float*, unsigned long, float const&)
  0.00     11.30     0.00      411     0.00     0.00  float* std::__uninitialized_fill_n_a<float*, unsigned long, float, float>(float*, unsigned long, float const&, std::allocator<float>&)
  0.00     11.30     0.00      411     0.00     0.00  float* std::fill_n<float*, unsigned long, float>(float*, unsigned long, float const&)
  0.00     11.30     0.00      411     0.00     0.00  void std::_Destroy<float*>(float*, float*)
  0.00     11.30     0.00      411     0.00     0.00  void std::_Destroy<float*, float>(float*, float*, std::allocator<float>&)
  0.00     11.30     0.00      411     0.00     0.00  void std::__fill_a<float*, float>(float*, float*, float const&)
  0.00     11.30     0.00      400     0.00     0.00  std::vector<float, std::allocator<float> >::size() const
  0.00     11.30     0.00      300     0.00     0.00  std::vector<float, std::allocator<float> >::end()
  0.00     11.30     0.00      300     0.00     0.00  std::vector<float, std::allocator<float> >::begin()
  0.00     11.30     0.00      300     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00     11.30     0.00      300     0.00     0.00  void std::fill<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, float>(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, float const&)
  0.00     11.30     0.00      300     0.00     0.00  void std::__fill_a<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, float>(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, float const&)
  0.00     11.30     0.00      300     0.00     0.00  void std::__fill_a1<float*, std::vector<float, std::allocator<float> >, float>(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, float const&)
  0.00     11.30     0.00      202     0.00     0.00  std::operator&(std::_Ios_Fmtflags, std::_Ios_Fmtflags)
  0.00     11.30     0.00      200     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&)
  0.00     11.30     0.00      200     0.00     0.00  __gnu_cxx::new_allocator<int>::_M_max_size() const
  0.00     11.30     0.00      200     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00     11.30     0.00      200     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00     11.30     0.00      200     0.00     0.00  std::remove_reference<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&>::type&& std::move<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00     11.30     0.00      101     0.00     0.01  Particles::write_csv(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) const
  0.00     11.30     0.00      101     0.00     0.00  std::ios_base::setf(std::_Ios_Fmtflags, std::_Ios_Fmtflags)
  0.00     11.30     0.00      101     0.00     0.00  std::setprecision(int)
  0.00     11.30     0.00      101     0.00     0.00  std::operator&=(std::_Ios_Fmtflags&, std::_Ios_Fmtflags)
  0.00     11.30     0.00      101     0.00     0.00  std::operator~(std::_Ios_Fmtflags)
  0.00     11.30     0.00      101     0.00     0.00  std::operator|=(std::_Ios_Fmtflags&, std::_Ios_Fmtflags)
  0.00     11.30     0.00      101     0.00     0.00  std::operator|(std::_Ios_Fmtflags, std::_Ios_Fmtflags)
  0.00     11.30     0.00      100     0.00     0.01  update_physics(Particles&, float)
  0.00     11.30     0.00      100     0.00     0.02  velocity_verlet(Particles&, std::vector<float, std::allocator<float> > const&, std::vector<float, std::allocator<float> > const&, std::vector<float, std::allocator<float> > const&, float)
  0.00     11.30     0.00      100     0.00     0.12  update_thermodynamics(Particles&, float)
  0.00     11.30     0.00      100     0.00     0.05  StarFormation::form_stars(Particles&, std::vector<int, std::allocator<int> > const&, float)
  0.00     11.30     0.00      100     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.00     11.30     0.00      100     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.00     11.30     0.00      100     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
  0.00     11.30     0.00      100     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00     11.30     0.00      100     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00     11.30     0.00      100     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00     11.30     0.00      100     0.00     0.00  std::vector<int, std::allocator<int> >::end() const
  0.00     11.30     0.00      100     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00     11.30     0.00      100     0.00     0.00  std::vector<int, std::allocator<int> >::begin() const
  0.00     11.30     0.00      100     0.00     0.00  std::vector<int, std::allocator<int> >::capacity() const
  0.00     11.30     0.00      100     0.00     0.08  std::vector<int, std::allocator<int> >::max_size() const
  0.00     11.30     0.00      100     0.00     0.00  std::allocator<int>::allocator()
  0.00     11.30     0.00      100     0.00     0.00  std::allocator<int>::~allocator()
  0.00     11.30     0.00      100     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00     11.30     0.00      100     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00     11.30     0.00      100     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl()
  0.00     11.30     0.00      100     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00     11.30     0.00      100     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data()
  0.00     11.30     0.00      100     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base()
  0.00     11.30     0.00      100     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00     11.30     0.00      100     0.00     0.00  std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long)
  0.00     11.30     0.00      100     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
  0.00     11.30     0.00      100     0.00     0.00  std::allocator_traits<std::allocator<int> >::max_size(std::allocator<int> const&)
  0.00     11.30     0.00      100     0.00     0.08  std::vector<int, std::allocator<int> >::_S_max_size(std::allocator<int> const&)
  0.00     11.30     0.00      100     0.00     0.00  std::vector<int, std::allocator<int> >::_S_relocate(int*, int*, int*, std::allocator<int>&)
  0.00     11.30     0.00      100     0.00     0.00  std::vector<int, std::allocator<int> >::_S_do_relocate(int*, int*, int*, std::allocator<int>&, std::integral_constant<bool, true>)
  0.00     11.30     0.00      100     0.00     0.08  std::vector<int, std::allocator<int> >::reserve(unsigned long)
  0.00     11.30     0.00      100     0.00     0.00  std::vector<int, std::allocator<int> >::vector()
  0.00     11.30     0.00      100     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00     11.30     0.00      100     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(unsigned long, char, std::allocator<char> const&)
  0.00     11.30     0.00      100     0.00     0.00  std::__cxx11::to_string(unsigned long)
  0.00     11.30     0.00      100     0.00     0.00  unsigned int std::__detail::__to_chars_len<unsigned long>(unsigned long, int)
  0.00     11.30     0.00      100     0.00     0.00  void std::__detail::__to_chars_10_impl<unsigned long>(char*, unsigned int, unsigned long)
  0.00     11.30     0.00      100     0.00     0.00  int* std::__relocate_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&)
  0.00     11.30     0.00      100     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<int, void>::value, int*>::type std::__relocate_a_1<int, int>(int*, int*, int*, std::allocator<int>&)
  0.00     11.30     0.00      100     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00     11.30     0.00      100     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00     11.30     0.00      100     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&, char const*)
  0.00     11.30     0.00      100     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  0.00     11.30     0.00       72     0.00     0.00  Star* std::__niter_base<Star*>(Star*)
  0.00     11.30     0.00       48     0.00     0.00  __gnu_cxx::__normal_iterator<Star*, std::vector<Star, std::allocator<Star> > >::base() const
  0.00     11.30     0.00       48     0.00     0.00  std::vector<Star, std::allocator<Star> >::size() const
  0.00     11.30     0.00       36     0.00     0.00  __gnu_cxx::new_allocator<Star>::_M_max_size() const
  0.00     11.30     0.00       26     0.00     0.00  std::_Vector_base<Star, std::allocator<Star> >::_M_get_Tp_allocator()
  0.00     11.30     0.00       24     0.00     0.00  __gnu_cxx::__normal_iterator<Star*, std::vector<Star, std::allocator<Star> > >::__normal_iterator(Star* const&)
  0.00     11.30     0.00       24     0.00     0.00  __gnu_cxx::new_allocator<Star>::max_size() const
  0.00     11.30     0.00       24     0.00     0.00  std::_Vector_base<Star, std::allocator<Star> >::_M_get_Tp_allocator() const
  0.00     11.30     0.00       24     0.00     0.08  std::vector<Star, std::allocator<Star> >::max_size() const
  0.00     11.30     0.00       24     0.00     0.00  std::allocator_traits<std::allocator<Star> >::max_size(std::allocator<Star> const&)
  0.00     11.30     0.00       24     0.00     0.08  std::vector<Star, std::allocator<Star> >::_S_max_size(std::allocator<Star> const&)
  0.00     11.30     0.00       24     0.00     0.08  std::vector<Star, std::allocator<Star> >::_S_relocate(Star*, Star*, Star*, std::allocator<Star>&)
  0.00     11.30     0.00       24     0.00     0.08  std::vector<Star, std::allocator<Star> >::_S_do_relocate(Star*, Star*, Star*, std::allocator<Star>&, std::integral_constant<bool, true>)
  0.00     11.30     0.00       24     0.00     0.08  Star* std::__relocate_a<Star*, Star*, std::allocator<Star> >(Star*, Star*, Star*, std::allocator<Star>&)
  0.00     11.30     0.00       24     0.00     0.08  Star* std::__relocate_a_1<Star*, Star*, std::allocator<Star> >(Star*, Star*, Star*, std::allocator<Star>&)
  0.00     11.30     0.00       14     0.00     0.00  std::_Vector_base<Star, std::allocator<Star> >::_M_deallocate(Star*, unsigned long)
  0.00     11.30     0.00       12     0.00     0.00  __gnu_cxx::new_allocator<Star>::deallocate(Star*, unsigned long)
  0.00     11.30     0.00       12     0.00     0.00  __gnu_cxx::new_allocator<Star>::allocate(unsigned long, void const*)
  0.00     11.30     0.00       12     0.00     0.00  __gnu_cxx::__normal_iterator<Star*, std::vector<Star, std::allocator<Star> > >::difference_type __gnu_cxx::operator-<Star*, std::vector<Star, std::allocator<Star> > >(__gnu_cxx::__normal_iterator<Star*, std::vector<Star, std::allocator<Star> > > const&, __gnu_cxx::__normal_iterator<Star*, std::vector<Star, std::allocator<Star> > > const&)
  0.00     11.30     0.00       12     0.00     0.17  std::vector<Star, std::allocator<Star> >::_M_check_len(unsigned long, char const*) const
  0.00     11.30     0.00       12     0.00     0.00  std::_Vector_base<Star, std::allocator<Star> >::_M_allocate(unsigned long)
  0.00     11.30     0.00       12     0.00     0.00  std::allocator_traits<std::allocator<Star> >::deallocate(std::allocator<Star>&, Star*, unsigned long)
  0.00     11.30     0.00       12     0.00     0.00  std::allocator_traits<std::allocator<Star> >::allocate(std::allocator<Star>&, unsigned long)
  0.00     11.30     0.00       12     0.00     0.33  void std::vector<Star, std::allocator<Star> >::_M_realloc_insert<Star const&>(__gnu_cxx::__normal_iterator<Star*, std::vector<Star, std::allocator<Star> > >, Star const&)
  0.00     11.30     0.00       12     0.00     0.00  std::vector<Star, std::allocator<Star> >::end()
  0.00     11.30     0.00       12     0.00     0.00  std::vector<Star, std::allocator<Star> >::begin()
  0.00     11.30     0.00       12     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00     11.30     0.00        7     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::_M_gen_rand()
  0.00     11.30     0.00        6     0.00     0.00  __gnu_cxx::new_allocator<Vec3>::~new_allocator()
  0.00     11.30     0.00        6     0.00     0.00  __gnu_cxx::new_allocator<unsigned char>::~new_allocator()
  0.00     11.30     0.00        6     0.00     0.00  std::allocator<Vec3>::~allocator()
  0.00     11.30     0.00        6     0.00     0.00  std::allocator<unsigned char>::~allocator()
