Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     14.74     0.00     1143     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  0.00     14.74     0.00     1143     0.00     0.00  std::vector<int, std::allocator<int> >::back()
  0.00     14.74     0.00     1143     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int&&)
  0.00     14.74     0.00     1143     0.00     0.00  std::remove_reference<int&>::type&& std::move<int&>(int&)
  0.00     14.74     0.00     1003     0.00     0.00  void std::_Construct<Vec3, Vec3 const&>(Vec3*, Vec3 const&)
  0.00     14.74     0.00     1003     0.00     0.00  Vec3* std::__addressof<Vec3>(Vec3&)
  0.00     14.74     0.00     1003     0.00     0.00  Vec3 const& std::forward<Vec3 const&>(std::remove_reference<Vec3 const&>::type&)
  0.00     14.74     0.00     1000     0.00     0.00  std::vector<Vec3, std::allocator<Vec3> >::size() const
  0.00     14.74     0.00     1000     0.00     0.00  std::vector<Vec3, std::allocator<Vec3> >::operator[](unsigned long)
  0.00     14.74     0.00      822     0.00     0.00  __gnu_cxx::new_allocator<float>::new_allocator(__gnu_cxx::new_allocator<float> const&)
  0.00     14.74     0.00      822     0.00     0.00  __gnu_cxx::new_allocator<float>::_M_max_size() const
  0.00     14.74     0.00      822     0.00     0.00  std::allocator<float>::allocator(std::allocator<float> const&)
  0.00     14.74     0.00      822     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_get_Tp_allocator()
  0.00     14.74     0.00      711     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<float>::__value, void>::__type std::__fill_a1<float*, float>(float*, float*, float const&)
  0.00     14.74     0.00      624     0.00     0.00  std::__detail::_Mod<unsigned long, 4294967296ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.00     14.74     0.00      624     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 4294967296ul, 1ul, 0ul>(unsigned long)
  0.00     14.74     0.00      623     0.00     0.00  std::__detail::_Mod<unsigned long, 624ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.00     14.74     0.00      623     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 624ul, 1ul, 0ul>(unsigned long)
  0.00     14.74     0.00      600     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::__normal_iterator(float* const&)
  0.00     14.74     0.00      600     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::base() const
  0.00     14.74     0.00      413     0.00     0.00  std::__size_to_integer(unsigned long)
  0.00     14.74     0.00      411     0.00     0.00  __gnu_cxx::new_allocator<float>::deallocate(float*, unsigned long)
  0.00     14.74     0.00      411     0.00     0.00  __gnu_cxx::new_allocator<float>::allocate(unsigned long, void const*)
  0.00     14.74     0.00      411     0.00     0.00  __gnu_cxx::new_allocator<float>::new_allocator()
  0.00     14.74     0.00      411     0.00     0.00  __gnu_cxx::new_allocator<float>::max_size() const
  0.00     14.74     0.00      411     0.00     0.00  std::allocator<float>::allocator()
  0.00     14.74     0.00      411     0.00     0.00  void std::_Destroy_aux<true>::__destroy<float*>(float*, float*)
  0.00     14.74     0.00      411     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_allocate(unsigned long)
  0.00     14.74     0.00      411     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_impl::_Vector_impl(std::allocator<float> const&)
  0.00     14.74     0.00      411     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_impl::~_Vector_impl()
  0.00     14.74     0.00      411     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_deallocate(float*, unsigned long)
  0.00     14.74     0.00      411     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_create_storage(unsigned long)
  0.00     14.74     0.00      411     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_impl_data::_Vector_impl_data()
  0.00     14.74     0.00      411     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_base(unsigned long, std::allocator<float> const&)
  0.00     14.74     0.00      411     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::~_Vector_base()
  0.00     14.74     0.00      411     0.00     0.00  std::allocator_traits<std::allocator<float> >::deallocate(std::allocator<float>&, float*, unsigned long)
  0.00     14.74     0.00      411     0.00     0.00  std::allocator_traits<std::allocator<float> >::allocate(std::allocator<float>&, unsigned long)
  0.00     14.74     0.00      411     0.00     0.00  std::allocator_traits<std::allocator<float> >::max_size(std::allocator<float> const&)
  0.00     14.74     0.00      411     0.00     0.00  float* std::__uninitialized_fill_n<true>::__uninit_fill_n<float*, unsigned long, float>(float*, unsigned long, float const&)
  0.00     14.74     0.00      411     0.00     0.07  std::vector<float, std::allocator<float> >::_S_max_size(std::allocator<float> const&)
  0.00     14.74     0.00      411     0.00     0.07  std::vector<float, std::allocator<float> >::_S_check_init_len(unsigned long, std::allocator<float> const&)
  0.00     14.74     0.00      411     0.00     0.00  std::vector<float, std::allocator<float> >::_M_fill_initialize(unsigned long, float const&)
  0.00     14.74     0.00      411     0.00     0.07  std::vector<float, std::allocator<float> >::vector(unsigned long, float const&, std::allocator<float> const&)
  0.00     14.74     0.00      411     0.00     0.00  std::vector<float, std::allocator<float> >::~vector()
  0.00     14.74     0.00      411     0.00     0.00  float* std::__fill_n_a<float*, unsigned long, float>(float*, unsigned long, float const&, std::random_access_iterator_tag)
  0.00     14.74     0.00      411     0.00     0.00  std::iterator_traits<float*>::iterator_category std::__iterator_category<float*>(float* const&)
  0.00     14.74     0.00      411     0.00     0.00  float* std::uninitialized_fill_n<float*, unsigned long, float>(float*, unsigned long, float const&)
  0.00     14.74     0.00      411     0.00     0.00  float* std::__uninitialized_fill_n_a<float*, unsigned long, float, float>(float*, unsigned long, float const&, std::allocator<float>&)
  0.00     14.74     0.00      411     0.00     0.00  float* std::fill_n<float*, unsigned long, float>(float*, unsigned long, float const&)
  0.00     14.74     0.00      411     0.00     0.00  void std::_Destroy<float*>(float*, float*)
  0.00     14.74     0.00      411     0.00     0.00  void std::_Destroy<float*, float>(float*, float*, std::allocator<float>&)
  0.00     14.74     0.00      411     0.00     0.00  void std::__fill_a<float*, float>(float*, float*, float const&)
  0.00     14.74     0.00      400     0.00     0.00  std::vector<float, std::allocator<float> >::size() const
  0.00     14.74     0.00      300     0.00     0.00  std::vector<float, std::allocator<float> >::end()
  0.00     14.74     0.00      300     0.00     0.00  std::vector<float, std::allocator<float> >::begin()
  0.00     14.74     0.00      300     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00     14.74     0.00      300     0.00     0.00  void std::fill<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, float>(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, float const&)
  0.00     14.74     0.00      300     0.00     0.00  void std::__fill_a<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, float>(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, float const&)
  0.00     14.74     0.00      300     0.00     0.00  void std::__fill_a1<float*, std::vector<float, std::allocator<float> >, float>(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, float const&)
  0.00     14.74     0.00      202     0.00     0.00  std::operator&(std::_Ios_Fmtflags, std::_Ios_Fmtflags)
  0.00     14.74     0.00      200     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&)
  0.00     14.74     0.00      200     0.00     0.00  __gnu_cxx::new_allocator<int>::_M_max_size() const
  0.00     14.74     0.00      200     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00     14.74     0.00      200     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00     14.74     0.00      200     0.00     0.00  std::remove_reference<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&>::type&& std::move<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00     14.74     0.00      101     0.00     0.00  std::ios_base::setf(std::_Ios_Fmtflags, std::_Ios_Fmtflags)
  0.00     14.74     0.00      101     0.00     0.00  std::setprecision(int)
  0.00     14.74     0.00      101     0.00     0.00  std::operator&=(std::_Ios_Fmtflags&, std::_Ios_Fmtflags)
  0.00     14.74     0.00      101     0.00     0.00  std::operator~(std::_Ios_Fmtflags)
  0.00     14.74     0.00      101     0.00     0.00  std::operator|=(std::_Ios_Fmtflags&, std::_Ios_Fmtflags)
  0.00     14.74     0.00      101     0.00     0.00  std::operator|(std::_Ios_Fmtflags, std::_Ios_Fmtflags)
  0.00     14.74     0.00      100     0.00     0.01  update_physics(Particles&, float)
  0.00     14.74     0.00      100     0.00     0.02  velocity_verlet(Particles&, std::vector<float, std::allocator<float> > const&, std::vector<float, std::allocator<float> > const&, std::vector<float, std::allocator<float> > const&, float)
  0.00     14.74     0.00      100     0.00     0.09  update_thermodynamics(Particles&, float)
  0.00     14.74     0.00      100     0.00     0.08  StarFormation::form_stars(Particles&, std::vector<int, std::allocator<int> > const&, float)
  0.00     14.74     0.00      100     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.00     14.74     0.00      100     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.00     14.74     0.00      100     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
  0.00     14.74     0.00      100     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00     14.74     0.00      100     0.00    73.45  StarFormation::detect_star_candidates(Particles const&) const
  0.00     14.74     0.00      100     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
